date,time,type,amount,unit,subtype,remark
2026-01-27,09:00,FEED,70,ml,BOTTLE,
2026-01-27,11:00,FEED,160,ml,BOTTLE,
2026-01-27,14:50,FEED,130,ml,BOTTLE,
2026-01-27,18:10,FEED,130,ml,BOTTLE,
2026-01-27,21:10,FEED,80,ml,BOTTLE,
2026-01-27,21:45,FEED,30,ml,BOTTLE,
2026-01-28,07:15,FEED,150,ml,BOTTLE,
2026-01-28,12:10,FEED,90,ml,BOTTLE,
2026-01-28,13:00,FEED,70,ml,BOTTLE,
2026-01-28,16:05,FEED,150,ml,BOTTLE,
2026-01-28,20:20,FEED,120,ml,BOTTLE,
2026-01-28,23:10,FEED,90,ml,BOTTLE,
2026-01-29,08:15,FEED,160,ml,BOTTLE,
2026-01-29,11:25,FEED,160,ml,BOTTLE,
2026-01-29,16:10,FEED,120,ml,BOTTLE,
2026-01-29,19:23,FEED,130,ml,BOTTLE,
2026-01-29,22:20,FEED,140,ml,BOTTLE,
2026-01-30,07:20,FEED,100,ml,BOTTLE,
2026-01-30,09:35,FEED,140,ml,BOTTLE,
2026-01-30,14:00,FEED,150,ml,BOTTLE,
2026-01-30,17:00,FEED,160,ml,BOTTLE,
2026-01-30,21:15,FEED,120,ml,BOTTLE,
2026-01-31,06:30,FEED,140,ml,BOTTLE,
2026-01-31,09:30,FEED,150,ml,BOTTLE,
2026-01-31,17:15,FEED,130,ml,BOTTLE,
2026-01-31,20:45,FEED,110,ml,BOTTLE,
2026-02-01,04:00,FEED,160,ml,BOTTLE,
2026-02-01,09:20,FEED,120,ml,BOTTLE,
2026-02-01,13:20,FEED,150,ml,BOTTLE,
2026-02-01,16:10,FEED,160,ml,BOTTLE,
2026-02-01,20:00,FEED,110,ml,BOTTLE,
2026-02-01,22:30,FEED,60,ml,BOTTLE,
2026-02-02,09:25,FEED,90,ml,BOTTLE,
2026-02-02,10:00,FEED,80,ml,BOTTLE,
2026-02-02,12:23,FEED,155,ml,BOTTLE,
2026-02-02,15:35,FEED,100,ml,BOTTLE,
2026-02-02,17:50,FEED,90,ml,BOTTLE,
2026-02-02,19:48,FEED,140,ml,BOTTLE,
2026-02-02,22:30,FEED,120,ml,BOTTLE,
